version,modification_time,release_number,release_type,image_name,release_date
12.1.5.1-0.0.5,2020-01-30T00:12:02Z,12.1.5.1,Point,BIGIP-12.1.5.1-0.0.5,02/05/2020
12.1.5.2-0.0.10,2020-06-25T00:55:40Z,12.1.5.2,Point,BIGIP-12.1.5.2-0.0.10,06/30/2020
12.1.5.3-0.0.5,2021-02-09T20:48:55Z,12.1.5.3,Point,BIGIP-12.1.5.3-0.0.5,02/18/2021
12.1.6-0.0.9,2021-03-26T18:19:50Z,12.1.6,Maintenance,BIGIP-12.1.6-0.0.9,04/06/2021
13.0.0.0.0.1645,2017-02-01T00:51:01Z,13.0.0,Major,BIGIP-13.0.0.0.0.1645,02/22/2017
13.0.1-0.0.3,2018-03-21T01:37:49Z,13.0.1,Point,BIGIP-13.0.1-0.0.3,03/27/2018
13.1.0.0.0.1868,2017-11-11T01:37:18Z,13.1.0,Minor / LTS,BIGIP-13.1.0.0.0.1868,12/19/2017
13.1.0.1-0.0.8,2017-12-12T01:32:14Z,,,,
13.1.0.2-0.0.6,2018-01-16T16:19:14Z,13.1.0.2,Point,BIGIP-13.1.0.2-0.0.6,01/19/2018
13.1.0.3-0.0.5,2018-02-13T02:59:30Z,13.1.0.3,Point,BIGIP-13.1.0.3-0.0.5,02/21/2018
13.1.0.4-0.0.6,2018-03-14T02:47:54Z,13.1.0.4,Point,BIGIP-13.1.0.4-0.0.6,03/21/2018
13.1.0.5-0.0.5,2018-03-27T15:29:06Z,13.1.0.5,Point,BIGIP-13.1.0.5-0.0.5,04/02/2018
13.1.0.6-0.0.3,2018-04-21T00:28:55Z,13.1.0.6,Point,BIGIP-13.1.0.6-0.0.3,04/30/2018
13.1.0.7-0.0.1,2018-05-15T22:02:09Z,13.1.0.7,Point,BIGIP-13.1.0.7-0.0.1,05/21/2018
13.1.0.8-0.0.3,2018-06-16T06:45:48Z,13.1.0.8,Point,BIGIP-13.1.0.8-0.0.3,06/26/2018
13.1.1-0.0.4,2018-07-21T00:36:34Z,13.1.1,Maintenance,BIGIP-13.1.1-0.0.4,07/31/2018
13.1.1.2-0.0.4,2018-10-11T20:36:51Z,13.1.1.2,Point,BIGIP-13.1.1.2-0.0.4,10/17/2018
13.1.1.3-0.0.1,2018-11-29T02:14:28Z,13.1.1.3,Point,BIGIP-13.1.1.3-0.0.1,12/12/2018
